      -------Part 1--------   --------Part 2--------
Day       Time  Rank  Score       Time   Rank  Score
 25   00:12:28   572      0   00:12:58    505      0
 24   00:23:23  1342      0   00:37:06    888      0
 23   00:57:20  2397      0   02:58:09   2146      0
 22   00:44:37  3790      0       >24h  13377      0
 21   02:36:53  3964      0   02:40:54   3696      0
 20   03:59:48  3919      0       >24h   7231      0
 19   01:20:10  2375      0   13:06:55   7657      0
 18   01:16:59  3897      0   01:23:08   2713      0
 17   01:21:17  3435      0   01:27:05   3053      0
 16   00:19:29  1919      0   00:43:11    918      0
 15   00:15:58  1380      0   01:05:20   4354      0
 14   01:01:27  5199      0   01:39:53   4096      0
 13   00:06:36   627      0   02:26:02   3778      0
 12   00:20:34  2867      0   00:52:11   3381      0
 11   00:16:53   746      0   00:34:38   1151      0
 10   00:10:17  2429      0   01:21:00   4346      0
  9   00:07:54  1357      0   00:13:06    906      0
  8   00:06:52  1041      0   00:18:22   1378      0
  7   00:10:28   208      0   00:34:11   1330      0
  6   00:06:28  1879      0   00:23:31   4411      0
  5   00:25:57  4750      0   00:43:24   5574      0
  4   00:15:47  3011      0   00:29:01   1170      0
  3   00:24:10  5534      0   00:27:30   4350      0
  2   00:03:33   267      0   00:08:05    644      0
  1   00:08:15  1285      0   00:10:53   1366      0
